1.181: [GC1.181: [ParNew: 69952K->7886K(78656K), 0.0087570 secs] 69952K->7886K(253440K), 0.0088570 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2.060: [GC2.060: [ParNew: 77838K->8704K(78656K), 0.0486700 secs] 77838K->17694K(253440K), 0.0487330 secs] [Times: user=0.20 sys=0.01, real=0.05 secs] 
2.346: [GC2.346: [ParNew: 78656K->8704K(78656K), 0.0343830 secs] 87646K->30461K(253440K), 0.0344510 secs] [Times: user=0.15 sys=0.00, real=0.03 secs] 
2.934: [GC2.934: [ParNew: 78656K->8655K(78656K), 0.0151670 secs] 100413K->38239K(253440K), 0.0152330 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
3.262: [GC3.262: [ParNew: 78607K->6023K(78656K), 0.0093930 secs] 108191K->40074K(253440K), 0.0094580 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
3.777: [GC3.777: [ParNew: 75975K->8704K(78656K), 0.0084330 secs] 110026K->43005K(253440K), 0.0085090 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
278.266: [GC278.266: [ParNew: 78656K->8704K(78656K), 0.0195970 secs] 112957K->51305K(253440K), 0.0196670 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
279.111: [GC279.111: [ParNew: 78656K->8704K(78656K), 0.0208430 secs] 121257K->60897K(253440K), 0.0209180 secs] [Times: user=0.09 sys=0.01, real=0.02 secs] 
279.958: [GC279.958: [ParNew: 78656K->8704K(78656K), 0.0173400 secs] 130849K->66031K(253440K), 0.0174030 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
280.379: [GC280.379: [ParNew: 78656K->7126K(78656K), 0.0091480 secs] 135983K->70200K(253440K), 0.0092140 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
281.139: [GC281.139: [ParNew: 77078K->5243K(78656K), 0.0080660 secs] 140152K->68316K(253440K), 0.0081360 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
281.475: [GC281.476: [ParNew: 75195K->7343K(78656K), 0.0060310 secs] 138268K->71702K(253440K), 0.0061550 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
293.148: [GC293.148: [ParNew: 77295K->7938K(78656K), 0.0081750 secs] 141654K->74100K(253440K), 0.0083510 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
294.185: [GC294.185: [ParNew: 77890K->8068K(78656K), 0.0114930 secs] 144052K->76100K(253440K), 0.0115600 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
294.594: [GC294.594: [ParNew: 78020K->6004K(78656K), 0.0085930 secs] 146052K->76579K(253440K), 0.0086630 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
295.796: [GC295.796: [ParNew: 75956K->5079K(78656K), 0.0073970 secs] 146531K->76728K(253440K), 0.0075300 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
301.884: [GC301.884: [ParNew: 75031K->5925K(78656K), 0.0067730 secs] 146680K->77574K(253440K), 0.0068420 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
303.022: [GC303.022: [ParNew: 75877K->7277K(78656K), 0.0104060 secs] 147526K->79605K(253440K), 0.0105680 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
303.936: [GC303.936: [ParNew: 77229K->8172K(78656K), 0.0088960 secs] 149557K->82977K(253440K), 0.0089710 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
304.673: [GC304.673: [ParNew: 78124K->5553K(78656K), 0.0079340 secs] 152929K->83199K(253440K), 0.0079940 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
305.335: [GC305.335: [ParNew: 75505K->6489K(78656K), 0.0069170 secs] 153151K->84135K(253440K), 0.0069880 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
305.818: [GC305.818: [ParNew: 76441K->8277K(78656K), 0.0235750 secs] 154087K->88818K(253440K), 0.0236490 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
306.767: [GC306.767: [ParNew: 78229K->6343K(78656K), 0.0055550 secs] 158770K->89108K(253440K), 0.0056340 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
307.427: [GC307.427: [ParNew: 76295K->8704K(78656K), 0.0088120 secs] 159060K->92356K(253440K), 0.0088820 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
307.739: [GC307.739: [ParNew: 78600K->5550K(78656K), 0.0065280 secs] 162253K->91347K(253440K), 0.0066000 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
312.540: [Full GC312.540: [CMS: 85796K->59027K(174784K), 0.2662540 secs] 131126K->59027K(253440K), [CMS Perm : 46016K->45744K(81920K)], 0.2663350 secs] [Times: user=0.27 sys=0.01, real=0.27 secs] 
Heap
 par new generation   total 78720K, used 1965K [0x00000000b0000000, 0x00000000b5560000, 0x00000000c5550000)
  eden space 70016K,   2% used [0x00000000b0000000, 0x00000000b01eb558, 0x00000000b4460000)
  from space 8704K,   0% used [0x00000000b4460000, 0x00000000b4460000, 0x00000000b4ce0000)
  to   space 8704K,   0% used [0x00000000b4ce0000, 0x00000000b4ce0000, 0x00000000b5560000)
 concurrent mark-sweep generation total 174784K, used 59027K [0x00000000c5550000, 0x00000000d0000000, 0x00000000f0000000)
 concurrent-mark-sweep perm gen total 81920K, used 45744K [0x00000000f0000000, 0x00000000f5000000, 0x0000000100000000)
